Month,BPMN,BPEL,Petri-Net
2004-01,9,37,69
2004-02,5,52,91
2004-03,6,56,81
2004-04,10,66,93
2004-05,13,63,82
2004-06,10,74,75
2004-07,13,75,60
2004-08,12,72,46
2004-09,12,81,56
2004-10,5,77,82
2004-11,10,78,75
2004-12,10,81,69
2005-01,11,82,58
2005-02,13,78,57
2005-03,14,73,58
2005-04,15,83,55
2005-05,9,91,68
2005-06,17,98,56
2005-07,14,87,44
2005-08,19,75,30
2005-09,15,94,44
2005-10,21,86,47
2005-11,14,83,50
2005-12,16,74,49
2006-01,16,87,48
2006-02,14,100,49
2006-03,27,97,50
2006-04,17,95,45
2006-05,21,91,48
2006-06,22,94,42
2006-07,19,89,30
2006-08,16,89,28
2006-09,18,83,34
2006-10,20,90,42
2006-11,24,95,35
2006-12,21,68,30
2007-01,19,84,37
2007-02,24,84,34
2007-03,22,93,35
2007-04,22,86,37
2007-05,23,87,35
2007-06,22,86,30
2007-07,26,93,27
2007-08,24,84,18
2007-09,27,72,21
2007-10,25,84,30
2007-11,28,85,39
2007-12,23,65,26
2008-01,25,71,29
2008-02,25,72,24
2008-03,25,70,23
2008-04,27,74,25
2008-05,24,68,32
2008-06,24,68,25
2008-07,26,73,19
2008-08,24,64,14
2008-09,20,64,19
2008-10,28,67,25
2008-11,27,62,26
2008-12,24,57,23
2009-01,26,56,25
2009-02,29,59,20
2009-03,29,63,23
2009-04,29,61,22
2009-05,27,53,23
2009-06,26,53,24
2009-07,23,56,17
2009-08,26,46,12
2009-09,27,53,15
2009-10,27,49,18
2009-11,30,48,23
2009-12,21,40,20
2010-01,25,45,20
2010-02,29,40,18
2010-03,30,44,18
2010-04,28,43,19
2010-05,32,38,18
2010-06,34,40,17
2010-07,29,32,12
2010-08,26,36,11
2010-09,30,36,11
2010-10,31,32,16
2010-11,33,35,20
2010-12,23,27,14
2011-01,26,27,15
2011-02,31,32,14
2011-03,33,31,16
2011-04,30,29,16
2011-05,32,27,16
2011-06,30,29,17
2011-07,26,26,11
2011-08,28,27,11
2011-09,30,26,9
2011-10,30,23,15
2011-11,31,25,14
2011-12,27,22,13
2012-01,26,22,14
2012-02,28,24,13
2012-03,29,22,12
2012-04,29,23,13
2012-05,33,21,14
2012-06,30,21,13
2012-07,27,20,9
2012-08,23,19,10
2012-09,27,18,10
2012-10,34,19,10
2012-11,29,17,11
2012-12,24,16,11
2013-01,24,18,12
2013-02,29,18,11
2013-03,29,18,10
2013-04,31,18,11
2013-05,31,16,13
2013-06,29,17,10
2013-07,27,16,8
2013-08,24,16,6
2013-09,27,15,8
2013-10,30,16,10
2013-11,29,15,11
2013-12,24,13,9
2014-01,25,15,9
2014-02,30,14,9
2014-03,30,15,9
2014-04,32,15,9
2014-05,30,14,9
2014-06,31,14,9
2014-07,26,14,7
2014-08,24,12,5
2014-09,29,12,7
2014-10,31,14,8
2014-11,32,12,12
2014-12,26,10,9
2015-01,26,11,9
2015-02,32,11,9
2015-03,33,12,8
2015-04,33,12,10
2015-05,30,13,9
2015-06,32,11,9
2015-07,29,11,6
2015-08,24,9,5
2015-09,32,12,6
2015-10,30,10,7
2015-11,34,9,10
2015-12,25,9,8
2016-01,26,9,8
2016-02,30,9,8
2016-03,29,8,8
2016-04,31,8,8
2016-05,32,10,9
2016-06,31,9,8
2016-07,22,8,5
2016-08,23,6,4
2016-09,28,7,5
2016-10,28,8,7
2016-11,33,8,9
2016-12,25,8,7
2017-01,26,8,7
2017-02,30,8,7
2017-03,33,7,7
2017-04,32,7,7
2017-05,31,8,7
2017-06,29,7,7
2017-07,23,7,4
2017-08,26,6,3
2017-09,30,6,5
2017-10,31,6,6
2017-11,34,7,8
2017-12,26,5,6
2018-01,28,6,5
2018-02,29,6,5
2018-03,28,6,5
2018-04,31,6,5
2018-05,30,6,5
2018-06,29,5,5
2018-07,27,5,4
2018-08,26,4,3
2018-09,31,4,4
2018-10,30,5,5
2018-11,32,4,5
2018-12,26,4,4
2019-01,28,4,5
2019-02,31,4,4
2019-03,31,4,4
2019-04,31,3,4
2019-05,32,3,4
2019-06,30,4,4
2019-07,28,3,3
2019-08,26,3,3
2019-09,33,3,4
2019-10,33,3,4
2019-11,32,3,4
2019-12,26,2,4
2020-01,30,3,5
2020-02,31,3,4
2020-03,27,2,3
2020-04,27,2,3
2020-05,29,2,4
2020-06,31,3,4
2020-07,28,2,3
2020-08,24,3,2
2020-09,29,2,3
